input_id,round_id,fc1_min_abs_diff,fc1_max_abs_diff,fc1_mean_abs_diff,fc2_min_abs_diff,fc2_max_abs_diff,fc2_mean_abs_diff,fc3_min_abs_diff,fc3_max_abs_diff,fc3_mean_abs_diff,real_input,pred_input
1,1,4.70578670501709e-05,0.04307293891906738,0.013434384949505329,0.00012886524200439453,0.029305964708328247,0.007795162498950958,0.0001558065414428711,0.0012364387512207031,0.000862638175021857,"[0.0882352963089943, 0.6666666865348816, 0.0, 0.0416666679084301]","[0.11869783699512482, 0.6343193650245667, -0.031801577657461166, 0.04085485264658928]"
1,2,0.0004623532295227051,0.12648510932922363,0.03932184353470802,0.0006437748670578003,0.07880595326423645,0.019420698285102844,0.0001577138900756836,0.0024148225784301758,0.0015855630626901984,"[0.0882352963089943, 0.6666666865348816, 0.0, 0.0416666679084301]","[-0.02312750741839409, 0.7537012696266174, 0.07692531496286392, 0.03431740403175354]"
1,3,0.00024899840354919434,0.21738076210021973,0.07398131489753723,9.775161743164062e-05,0.10316294431686401,0.029414579272270203,5.9723854064941406e-05,0.002822279930114746,0.0017665227642282844,"[0.0882352963089943, 0.6666666865348816, 0.0, 0.0416666679084301]","[-0.14951933920383453, 0.807487964630127, 0.08301089704036713, 0.033687397837638855]"
2,1,0.0038237571716308594,0.09906105697154999,0.03965222090482712,0.00019139796495437622,0.05163830518722534,0.02032732032239437,0.00034546852111816406,0.0025892257690429688,0.001835902570746839,"[0.4117647111415863, 1.0, 0.08771929889917374, 0.125]","[0.29045042395591736, 1.0003247261047363, 0.05402874946594238, 0.1787789911031723]"
2,2,0.00010418891906738281,0.01982825994491577,0.007045119069516659,0.0002573952078819275,0.009515240788459778,0.004077115096151829,0.000362396240234375,0.00159454345703125,0.0011561712017282844,"[0.4117647111415863, 1.0, 0.08771929889917374, 0.125]","[0.40711188316345215, 1.0099436044692993, 0.10796599090099335, 0.10806233435869217]"
2,3,0.002407550811767578,0.39373886585235596,0.16309213638305664,0.007426626980304718,0.20209568738937378,0.06254050880670547,0.0011734962463378906,0.002285003662109375,0.0017816623440012336,"[0.4117647111415863, 1.0, 0.08771929889917374, 0.125]","[-0.16352233290672302, 1.0946879386901855, 0.12372613698244095, 0.17883995175361633]"
3,1,0.007567659020423889,0.5936673283576965,0.1975483000278473,0.0062667131423950195,0.27052366733551025,0.08845254778862,0.00020074844360351562,0.0012654662132263184,0.0008763273363001645,"[0.7058823704719543, 0.4583333432674408, 0.5964912176132202, 0.5416666865348816]","[1.384592890739441, 0.25249865651130676, 0.30295607447624207, 0.6025468707084656]"
3,2,0.0008397996425628662,0.056109488010406494,0.018148042261600494,0.00024569034576416016,0.022912204265594482,0.008126234635710716,0.00016641616821289062,0.0012218952178955078,0.0008640289306640625,"[0.7058823704719543, 0.4583333432674408, 0.5964912176132202, 0.5416666865348816]","[0.6436477303504944, 0.4754228889942169, 0.6264585256576538, 0.5382658243179321]"
3,3,0.0005826950073242188,0.05181446671485901,0.016788817942142487,6.258487701416016e-05,0.02152755856513977,0.007534919772297144,6.99162483215332e-05,0.0012478828430175781,0.0008374254102818668,"[0.7058823704719543, 0.4583333432674408, 0.5964912176132202, 0.5416666865348816]","[0.7634755969047546, 0.44145718216896057, 0.5696681141853333, 0.5443149209022522]"
4,1,0.004124462604522705,0.3138091564178467,0.12077581882476807,0.000217437744140625,0.19248193502426147,0.06489994376897812,0.00017315149307250977,0.0012451410293579102,0.0008673469419591129,"[0.14705882966518402, 0.5833333134651184, 0.10526315867900848, 0.0416666679084301]","[0.5725392699241638, 0.5659695863723755, -0.009740018285810947, 0.05301344767212868]"
