input_id,epsilon,softmax_rank1_idx,softmax_rank1_prob,softmax_rank2_idx,softmax_rank2_prob,softmax_rank3_idx,softmax_rank3_prob,softmax_rank4_idx,softmax_rank4_prob,softmax_rank5_idx,softmax_rank5_prob,softmax_rank6_idx,softmax_rank6_prob,softmax_rank7_idx,softmax_rank7_prob,softmax_rank8_idx,softmax_rank8_prob,softmax_rank9_idx,softmax_rank9_prob,softmax_rank10_idx,softmax_rank10_prob,softmax_rank11_idx,softmax_rank11_prob,softmax_rank12_idx,softmax_rank12_prob,softmax_rank13_idx,softmax_rank13_prob,softmax_rank14_idx,softmax_rank14_prob,softmax_rank15_idx,softmax_rank15_prob,softmax_rank16_idx,softmax_rank16_prob,softmax_rank17_idx,softmax_rank17_prob,softmax_rank18_idx,softmax_rank18_prob,softmax_rank19_idx,softmax_rank19_prob,softmax_rank20_idx,softmax_rank20_prob
1,0.1,3681,0.8930634260177612,263,0.0345411486923694,2998,0.0096845747902989,5982,0.0070159481838345,2000,0.0055358251556754,278,0.0042777340859174,856,0.0034582926891744,385,0.0031993191223591,451,0.0028357347473502,4257,0.0023090422619134,903,0.0015729191945865,22444,0.0012975204735994,884,0.0012589114485308,1459,0.0012528068618848,697,0.0011857650242745,2869,0.0011459721717983,2177,0.001096200547181,24046,0.0007470058044418,29901,0.0007197310915216,6200,0.0005827753921039
2,0.1,278,0.9200286865234376,451,0.0289103519171476,263,0.0154372164979577,856,0.0028025298379361,385,0.0025782042648643,29892,0.002198300557211,5642,0.0016063336515799,2000,0.0015869259368628,2869,0.0015443923184648,884,0.0014895653584972,29901,0.0012386885937303,694,0.0011166046606376,1476,0.0009560239850543,577,0.0006817997200414,1286,0.0006805719458498,2998,0.0005984430899843,563,0.0005864602862857,297,0.0004249222401995,903,0.0004093227616976,29973,0.0003867016930598
3,0.1,278,0.7385081052780151,4266,0.0972119346261024,1023,0.0498574972152709,8024,0.0143962819129228,607,0.0134501224383711,18577,0.012739835307002,2894,0.010854123160243,9101,0.0078042251989245,263,0.0069819185882806,521,0.0057523790746927,903,0.0049178451299667,825,0.0042519872076809,2211,0.0033434152137488,3196,0.0027786726132035,599,0.0022807004861533,1716,0.0018317048670724,13874,0.0017956993542611,5094,0.0017122562276199,3578,0.0012313809711486,1784,0.0011819869978353
4,0.1,14235,0.4901208877563476,29871,0.3250536620616913,263,0.1194196492433548,1048,0.0150141548365354,3342,0.0117524666711688,395,0.0073282932862639,20928,0.0028380495496094,27291,0.0026256630662828,29901,0.0025004220660775,2337,0.0024122444447129,903,0.0017521706176921,5186,0.0016239274991676,3721,0.0014146623434498,385,0.0013218184467405,2183,0.0013104929821565,4868,0.0012552089756354,2820,0.0009214904857799,13,0.0008377585327252,278,0.0006743491976521,421,0.0005471054464578
5,0.1,8407,0.9913066029548644,319,0.0015648604603484,4059,0.001358552952297,29909,0.0009897861164063,3763,0.0006912351818755,13,0.0005851472960785,23266,0.0003662037779577,2180,0.0001918901252793,7260,0.0001863408397184,1291,0.0001641996495891,25951,0.0001553990005049,376,0.0001486399705754,10813,0.0001389708777423,7740,0.0001385579962516,4049,0.000107029096398,5491,9.220933861797675e-05,29871,8.522970165358856e-05,2023,7.325443584704772e-05,1976,6.883461901452392e-05,4709,6.69414657750167e-05
6,0.1,29973,0.9062568545341492,297,0.0346381813287735,13,0.0223747584968805,29892,0.0105454875156283,322,0.0048432946205139,1577,0.0035753992851823,29889,0.0024337177164852,19148,0.0013392616529017,472,0.0012526928912848,29871,0.0010556882480159,448,0.0008410109439864,3001,0.0007324327016249,393,0.0006081741303205,313,0.0005883955163881,29901,0.0004736180417239,29991,0.0004207058227621,526,0.0003168454568367,746,0.0003005651233252,363,0.0002272240672027,304,0.0002088504406856
7,0.1,12566,0.5322706699371338,3013,0.3652229607105255,5557,0.0222409348934888,1371,0.0116775743663311,367,0.0112446174025535,2761,0.0087989810854196,5040,0.0076611088588833,24663,0.0058247633278369,8372,0.0040213894098997,29901,0.0035336592700332,9080,0.0015058838762342,5004,0.0013366200728341,3867,0.0012626944808289,4511,0.0012343726120889,437,0.0012319205561652,9437,0.0010835918365046,1544,0.0010798162547871,13,0.0008801411022432,281,0.0007541999220848,11592,0.0005553346709348
8,0.1,29973,0.9293559193611144,322,0.0234013553708791,29892,0.0141633506864309,297,0.0073246215470135,13,0.0058673862367868,373,0.0036771057639271,7111,0.0035439727362245,338,0.0014396348269656,29889,0.0012374358484521,3721,0.0011058513773605,947,0.0010839102324098,29901,0.0009677342022769,313,0.0009495714912191,746,0.0006051913369446,448,0.00054902973352,8679,0.0004696548276115,1577,0.0004609843890648,472,0.000385866878787,29871,0.0002292294084327,363,0.0001770986127667
9,0.1,385,0.4756608307361603,278,0.2955840229988098,263,0.0735138431191444,29901,0.0369576774537563,2000,0.0238048713654279,2998,0.01902487128973,5545,0.0121194757521152,451,0.0118012586608529,13,0.0096911517903208,29973,0.0060404292307794,903,0.0033739760983735,439,0.0026802783831954,825,0.0026298437733203,856,0.0018969912780448,472,0.0018866568570956,2086,0.0017716927686706,29871,0.0016381259774789,1603,0.0014966974267736,1554,0.0010887169046327,3342,0.0008038404630497
10,0.1,297,0.5087699294090271,376,0.0856245830655098,304,0.0519172474741935,29892,0.0406078994274139,2645,0.0289872195571661,1546,0.023420987650752,1346,0.0233367979526519,746,0.0176137257367372,2820,0.0154131231829524,322,0.0142789185047149,363,0.0127455545589327,472,0.0098686702549457,411,0.009711854159832,408,0.0096032861620187,310,0.0092019373551011,1048,0.0087602091953158,4326,0.0073568057268857,525,0.0061501483432948,29889,0.0057457429356873,975,0.0049849613569676
